sample_id,source_row,original_id,macro_group,haplogroup,tmrca,terminal_branch,surname,ethnicity,location,lat,lon,family,tribe,distribution,sample_age,is_ancient,branch_segments_json
HHT1015,25,Kazakh-9,C2a1a3-M504,C2a1a3-M504-Y4519-Y4574-Y11121-F3796-Y11098-ZQ380-FGC16589-Y4580-Y4633-FGC16519-Y8818-Y4569-Y4541-Y12782-MF317986-Y20085-Y20087,570,TBD,TBD,哈萨克人,"Kazakhstan,Zhambyl",42.9,71.37,Dulat,哈萨克,哈萨克斯坦东部-新疆西部,0,false,"[""Y4541"",""Y12782"",""MF317986"",""Y20085"",""Y20087""]"
HHT1016,26,,C2a1a3-M504,C2a1a3-M504-Y4519-Y4574-Y11121-F3796-Y11098-ZQ380-FGC16589-Y4580-Y4633-FGC16519-Y8818-Y4569-Y4541,1000,MF168802,TBD,蒙古族,"中国,内蒙古,赤峰",42.27,118.9426,,尼伦蒙古,蒙古国东北部,0,false,"[""Y4541""]"
HHT1017,27,,C2a1a3-M504,C2a1a3-M504-Y4519-Y4574-Y11121-F3796-Y11098-ZQ380-FGC16589-Y4580-Y4633-FGC16519-Y8818-Y4569-Y4541,1000,MF362511,孛儿只斤,汉族,"中国,内蒙古,呼和浩特",40.8175,111.7448,,尼伦蒙古,蒙古国东北部,0,false,"[""Y4541""]"
HHT1018,28,,C2a1a3-M504,C2a1a3-M504-Y4519-Y4574-Y11121-F3796-Y11098-ZQ380-FGC16589-Y4580-Y4633-FGC16519-Y8818-Y4569-Y4541,1000,MF344015,王,汉族,"中国,山西,太原",37.8706,112.5489,,尼伦蒙古,蒙古国东北部,0,false,"[""Y4541""]"
HHT1019,29,,C2a1a3-M504,C2a1a3-M504-Y4519-Y4574-Y11121-F3796-Y11098-ZQ380-FGC16589-Y4580-Y4633-FGC16519-Y8818-Y4569-Y4541-MF193836,760,Y207811,茹,汉族,"中国,甘肃,张掖",38.9248,100.4499,,尼伦蒙古,河西走廊,0,false,"[""Y4541"",""MF193836""]"
HHT1020,30,,C2a1a3-M504,C2a1a3-M504-Y4519-Y4574-Y11121-F3796-Y11098-ZQ380-FGC16589-Y4580-Y4633-FGC16519-Y8818-Y4569-Y4541-MF193836,760,MF466260,张,汉族,"中国,甘肃,兰州",36.0608,103.8268,,尼伦蒙古,河西走廊,0,false,"[""Y4541"",""MF193836""]"
HHT1021,31,Uyghur-3,C2a1a3-M504,C2a1a3-M504-Y4519-Y4574-Y11121-F3796-Y11098-ZQ380-FGC16589-Y4580-Y4633-FGC16519-Y8818-Y4569-Y4541-ZQ32,730,TBD,TBD,维吾尔族,"Kazakhstan,Almaty",43.2567,76.9286,克烈部,哈萨克,哈萨克斯坦东部-新疆西部,0,false,"[""Y4541"",""ZQ32""]"
HHT1022,32,,C2a1a3-M504,C2a1a3-M504-Y4519-Y4574-Y11121-F3796-Y11098-ZQ380-FGC16589-Y4580-Y4633-FGC16519-Y8818-Y4569-Y4541-ZQ32,730,MF390542,米孜木汗,哈萨克族,"中国,新疆,乌鲁木齐",43.7894,87.6144,克烈部阿巴克部,哈萨克,哈萨克斯坦东部-新疆西部,0,false,"[""Y4541"",""ZQ32""]"
HHT1023,33,FD-Kaz34,C2a1a3-M504,C2a1a3-M504-Y4519-Y4574-Y11121-F3796-Y11098-ZQ380-FGC16589-Y4580-Y4633-FGC16519-Y8818-Y4569-Y4541-ZQ32,730,TBD,TBD,哈萨克族,"中国,甘肃,肃北",39.5125,94.8767,克烈部阿巴克部,哈萨克,哈萨克斯坦东部-新疆西部,0,false,"[""Y4541"",""ZQ32""]"
HHT1024,34,,C2a1a3-M504,C2a1a3-M504-Y4519-Y4574-Y11121-F3796-Y11098-ZQ380-FGC16589-Y4580-Y4633-FGC16519-Y8818-Y4569-Y4541-FGC16605,920,MF244230,敖勒高努德,蒙古族,"中国,内蒙古,通辽,奈曼旗",42.85,120.667,,尼伦蒙古,内蒙古东南部,0,false,"[""Y4541"",""FGC16605""]"
HHT1025,35,,C2a1a3-M504,C2a1a3-M504-Y4519-Y4574-Y11121-F3796-Y11098-ZQ380-FGC16589-Y4580-Y4633-FGC16519-Y8818-Y4569-Y4541-FGC16605-FGC16593,760,MF267130,阿巴嘎,蒙古族,"中国,内蒙古,锡林郭勒,阿巴嘎旗",44.0251,114.9528,,尼伦蒙古,内蒙古东南部,0,false,"[""Y4541"",""FGC16605"",""FGC16593""]"
HHT1026,36,,C2a1a3-M504,C2a1a3-M504-Y4519-Y4574-Y11121-F3796-Y11098-ZQ380-FGC16589-Y4580-Y4633-FGC16519-Y8818-Y4569-Y4541-FGC16605-FGC16593,760,MF344006,安,回族,"中国,山西,太原,阳曲",38.0589,112.6728,,尼伦蒙古,内蒙古东南部,0,false,"[""Y4541"",""FGC16605"",""FGC16593""]"
HHT1027,37,,C2a1a3-M504,C2a1a3-M504-Y4519-Y4574-Y11121-F3796-Y11098-ZQ380-FGC16589-Y4580-Y4633-FGC16519-Y8818-Y4569-Y4541-FGC29011,920,ACT4502,汪,汉族,"中国,北京",39.9042,116.4074,,尼伦蒙古,内蒙古东南部,0,false,"[""Y4541"",""FGC29011""]"
HHT1028,38,,C2a1a3-M504,C2a1a3-M504-Y4519-Y4574-Y11121-F3796-Y11098-ZQ380-FGC16589-Y4580-Y4633-FGC16519-Y8818-Y4569-Y4541-FGC29011-FGC29003,760,MF173977,王古特,蒙古族,"中国,内蒙古 兴安,科尔沁右翼前旗",46.0797,121.9527,,尼伦蒙古,内蒙古东南部,0,false,"[""Y4541"",""FGC29011"",""FGC29003""]"
HHT1029,39,,C2a1a3-M504,C2a1a3-M504-Y4519-Y4574-Y11121-F3796-Y11098-ZQ380-FGC16589-Y4580-Y4633-FGC16519-Y8818-Y4569-Y4541-FGC29011-FGC29003,760,MF190277,孛儿只斤,蒙古族,"中国,内蒙古,通辽,库伦旗",42.7335,121.7938,,尼伦蒙古,内蒙古东南部,0,false,"[""Y4541"",""FGC29011"",""FGC29003""]"
HHT1030,40,,C2a1a3-M504,C2a1a3-M504-Y4519-Y4574-Y11121-F3796-Y11098-ZQ380-FGC16589-Y4580-Y4633-FGC16519-Y8818-Y4569-Y4541-FGC29011-FGC29003-MF274950,680,MF274459,白,蒙古族,"中国,内蒙古,赤峰",42.27,118.9426,,尼伦蒙古,内蒙古东南部,0,false,"[""Y4541"",""FGC29011"",""FGC29003"",""MF274950""]"
HHT1031,41,,C2a1a3-M504,C2a1a3-M504-Y4519-Y4574-Y11121-F3796-Y11098-ZQ380-FGC16589-Y4580-Y4633-FGC16519-Y8818-Y4569-Y4541-FGC29011-FGC29003-MF274950,680,MF485294,陈,蒙古族,"中国,辽宁,朝阳",41.571,120.453,,尼伦蒙古,内蒙古东南部,0,false,"[""Y4541"",""FGC29011"",""FGC29003"",""MF274950""]"
HHT1032,42,,C2a1a3-M504,C2a1a3-M504-Y4519-Y4574-Y11121-F3796-Y11098-ZQ380-FGC16589-Y4580-Y4633-FGC16519-Y8818-Y4569-Y4541-Y125520,920,MV267670,关,满族,"中国,吉林,吉林",43.8781,126.5173,,尼伦蒙古,蒙古国东北部,0,false,"[""Y4541"",""Y125520""]"
HHT1033,43,,C2a1a3-M504,C2a1a3-M504-Y4519-Y4574-Y11121-F3796-Y11098-ZQ380-FGC16589-Y4580-Y4633-FGC16519-Y8818-Y4569-Y4541-Y125520-ZQ1049,840,MF175716,布,蒙古族,"中国,新疆,博尔塔拉",44.892,82.0687,,尼伦蒙古,新疆西部,0,false,"[""Y4541"",""Y125520"",""ZQ1049""]"
HHT1034,44,HGDP00119,C2a1a3-M504,C2a1a3-M504-Y4519-Y4574-Y11121-F3796-Y11098-ZQ380-FGC16589-Y4580-Y4633-FGC16519-Y8818-Y4569-Y4541-Y125520-ZQ1049-SK1076,760,FT289433,TBD,哈扎拉人,Afghanistan,34.5553,69.2075,,哈扎拉人,阿富汗-巴基斯坦,0,false,"[""Y4541"",""Y125520"",""ZQ1049"",""SK1076""]"
HHT1035,45,HGDP00118,C2a1a3-M504,C2a1a3-M504-Y4519-Y4574-Y11121-F3796-Y11098-ZQ380-FGC16589-Y4580-Y4633-FGC16519-Y8818-Y4569-Y4541-Y125520-ZQ1049-SK1076,760,Y147631,TBD,哈扎拉人,Afghanistan,34.5553,69.2075,,哈扎拉人,阿富汗-巴基斯坦,0,false,"[""Y4541"",""Y125520"",""ZQ1049"",""SK1076""]"
