指标名称,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
地方财政支出—地方财政公共安全支出(亿元),,,,,,,,,,,249.79,270.91,294.75,286.71,
地方财政支出—地方财政其他支出(亿元),,,,,,,,,,,55.87,64.64,132.82,126.8,
地方财政支出—地方财政农林水事务支出(亿元),,,,,,,,,,,818.84,912.44,982.68,1094.34,
地方财政支出—地方财政医疗卫生支出(亿元),,,,,,,,,,,362.73,433.78,473.25,426.79,
地方财政支出—地方财政商业服务业等事务支出(亿元),,,,,,,,,,,17.74,17.22,27.37,22.7,
地方财政支出—地方财政国债还本付息支出(亿元),,,,,,,,,,,274.16,223.68,217.32,251.82,
地方财政支出—地方财政国土资源气象等事务支出决策数(亿元),,,,,,,,,,,64.89,81.63,106.43,87.4,
地方财政支出—地方财政国防支出(亿元),,,,,,,,,,,4.25,5.92,8.62,6.76,
地方财政支出—地方财政城乡社区事务支出(亿元),,,,,,,,,,,496.84,585.49,710.64,660.12,
地方财政支出—地方财政教育支出(亿元),,,,,,,,,,,641.29,692.38,774.62,783.65,
地方财政支出—地方财政文化体育与传媒支出(亿元),,,,,,,,,,,107.33,108.38,130.2,129.7,
地方财政支出—地方财政环境保护支出(亿元),,,,,,,,,,,143.87,141.56,178.06,196.66,
地方财政支出—地方财政社会保障和就业支出(亿元),,,,,,,,,,,874.77,985.15,1131.9,1168.22,
地方财政支出—地方财政科学技术支出(亿元),,,,,,,,,,,35.28,42.99,74.97,86.27,
地方财政支出—地方财政粮油物资储备管理等事务(亿元),,,,,,,,,,,17.59,18.67,21.38,18.53,
地方财政支出—地方财政资源勘探电力信息等事务支出(亿元),,,,,,,,,,,117.86,257.22,300.33,314.92,
地方财政支出—地方财政金融监管支出(亿元),,,,,,,,,,,8.45,20.76,70.94,47.38,
地方财政收入—地方财政一般预算收入(亿元),,,,,,,,,,,2349.95,2824.39,3083.64,3150.57,
地方财政收入—地方财政专项收入(亿元),,,,,,,,,,,150.96,147.65,143.01,127.44,
地方财政收入—地方财政个人所得税(亿元),,,,,,,,,,,59.33,67.83,72.88,70.82,
地方财政收入—地方财政企业所得税(亿元),,,,,,,,,,,234,388.88,345.57,317.13,
地方财政收入—地方财政其他税收收入(亿元),,,,,,,,,,,2.54,0.4,1.75,0.73,
地方财政收入—地方财政其他非税收入(亿元),,,,,,,,,,,25.21,40.18,33.19,91.12,
地方财政收入—地方财政印花税(亿元),,,,,,,,,,,27.55,26.02,30.63,31.9,
地方财政收入—地方财政国内增值税(亿元),,,,,,,,,,,541.81,601.26,691.18,665.92,
地方财政收入—地方财政国有资本经营收入(亿元),,,,,,,,,,,5.54,20.24,6.48,29.78,
地方财政收入—地方财政国有资源(资产)有偿使用收入(亿元),,,,,,,,,,,188.65,198.92,352.95,465.99,
地方财政收入—地方财政土地增值税(亿元),,,,,,,,,,,60.06,35.32,35.28,36.85,
地方财政收入—地方财政城市维护建设税(亿元),,,,,,,,,,,79.52,89.49,91.13,83.74,
地方财政收入—地方财政城镇土地使用税(亿元),,,,,,,,,,,64.67,77.39,98.71,108.03,
地方财政收入—地方财政契税(亿元),,,,,,,,,,,76.45,47.55,64.77,66.61,
地方财政收入—地方财政房产税(亿元),,,,,,,,,,,46.75,55.61,65.96,78.26,
地方财政收入—地方财政烟叶税(亿元),,,,,,,,,,,0.1,0.1,0.16,0.13,
地方财政收入—地方财政税收收入(亿元),,,,,,,,,,,1671.05,2134.4,2331.22,2212.42,
地方财政收入—地方财政罚没收入(亿元),,,,,,,,,,,190.96,166.36,89.85,100.53,
地方财政收入—地方财政耕地占用税(亿元),,,,,,,,,,,49.53,77.42,110.63,125.83,
地方财政收入—地方财政行政事业性收费收入(亿元),,,,,,,,,,,117.57,116.65,126.94,123.28,
地方财政收入—地方财政资源税(亿元),,,,,,,,,,,385.12,619.95,672.03,571.49,
地方财政收入—地方财政车船税(亿元),,,,,,,,,,,25.29,27.21,29.21,31.85,
地方财政收入—地方财政非税收入(亿元),,,,,,,,,,,678.9,689.99,752.42,938.15,
对外贸易—俄罗斯出口额(亿元),,,,,,,,,,,9.8,13.5,16.2,17.5,
对外贸易—俄罗斯进口额(亿元),,,,,,,,,,,24,30.5,38,36.2,
对外贸易—加拿大出口额(亿元),,,,,,,,,,,1.1,1.3,1.7,1.8,
对外贸易—加拿大进口额(亿元),,,,,,,,,,,0.8,1,1.3,1.4,
对外贸易—南非出口额(亿元),,,,,,,,,,,0.8,1,1.3,1.4,
对外贸易—南非进口额(亿元),,,,,,,,,,,0.4,0.5,0.6,0.7,
对外贸易—印尼出口额(亿元),,,,,,,,,,,1.6,2,2.5,2.7,
对外贸易—印尼进口额(亿元),,,,,,,,,,,0.8,1,1.3,1.4,
对外贸易—印度出口额(亿元),,,,,,,,,,,3,3.8,4.7,5,
对外贸易—印度进口额(亿元),,,,,,,,,,,1.2,1.5,1.9,2.1,
对外贸易—巴西出口额(亿元),,,,,,,,,,,0.6,0.8,1,1.1,
对外贸易—巴西进口额(亿元),,,,,,,,,,,1.2,1.5,1.9,2,
对外贸易—德国出口额(亿元),,,,,,,,,,,3.8,4.6,5.8,6.2,
对外贸易—德国进口额(亿元),,,,,,,,,,,1.5,1.8,2.3,2.5,
对外贸易—意大利出口额(亿元),,,,,,,,,,,1.1,1.3,1.7,1.8,
对外贸易—意大利进口额(亿元),,,,,,,,,,,0.6,0.7,0.9,1,
对外贸易—新加坡出口额(亿元),,,,,,,,,,,2.5,3.1,3.9,4.1,
对外贸易—新加坡进口额(亿元),,,,,,,,,,,0.9,1.1,1.4,1.5,
对外贸易—日本出口额(亿元),,,,,,,,,,,5.2,6.3,7.8,8.2,
对外贸易—日本进口额(亿元),,,,,,,,,,,3.5,4.2,5.2,5.5,
对外贸易—沙特出口额(亿元),,,,,,,,,,,1.6,2,2.5,2.7,
对外贸易—沙特进口额(亿元),,,,,,,,,,,1,1.2,1.5,1.7,
对外贸易—法国出口额(亿元),,,,,,,,,,,1.6,2,2.5,2.7,
对外贸易—法国进口额(亿元),,,,,,,,,,,0.5,0.6,0.8,0.9,
对外贸易—泰国出口额(亿元),,,,,,,,,,,1.1,1.3,1.7,1.8,
对外贸易—泰国进口额(亿元),,,,,,,,,,,0.5,0.6,0.8,0.9,
对外贸易—澳大利亚出口额(亿元),,,,,,,,,,,0.9,1.1,1.3,1.4,
对外贸易—澳大利亚进口额(亿元),,,,,,,,,,,3.2,3.8,4.8,5,
对外贸易—美国出口额(亿元),,,,,,,,,,,2.2,2.7,3.4,3.6,
对外贸易—美国进口额(亿元),,,,,,,,,,,1.5,1.8,2.3,2.4,
对外贸易—英国出口额(亿元),,,,,,,,,,,2,2.5,3.1,3.3,
对外贸易—英国进口额(亿元),,,,,,,,,,,0.5,0.6,0.8,0.9,
对外贸易—荷兰出口额(亿元),,,,,,,,,,,2.2,2.7,3.4,3.6,
对外贸易—荷兰进口额(亿元),,,,,,,,,,,0.8,1,1.3,1.4,
对外贸易—蒙古出口额(亿元),,,,,,,,,,,18,22.5,28,30.5,
对外贸易—蒙古进口额(亿元),,,,,,,,,,,49,55,72,75.5,
对外贸易—越南出口额(亿元),,,,,,,,,,,2.2,2.7,3.4,3.6,
对外贸易—越南进口额(亿元),,,,,,,,,,,0.8,1,1.3,1.4,
对外贸易—阿联酋出口额(亿元),,,,,,,,,,,2.5,3.1,3.9,4.1,
对外贸易—阿联酋进口额(亿元),,,,,,,,,,,0.8,1,1.3,1.4,
对外贸易—韩国出口额(亿元),,,,,,,,,,,4.1,5,6.2,6.5,
对外贸易—韩国进口额(亿元),,,,,,,,,,,2.8,3.4,4.2,4.8,
居民人均可支配收入—全体居民人均可支配收入(元),,,,,,,,,,,34108,35921,38130,40077,
居民人均可支配收入—农村居民人均可支配收入(元),,,,,,,,,,,18337,19641,21221,22543,
居民人均可支配收入—城镇居民人均可支配收入(元),,,,,,,,,,,44377,46295,48676,50888,
居民人均消费支出—全体居民人均消费支出(元),,,,,,,,,,,22658,22298,27025,28113,
居民人均消费支出—农村居民人均消费支出(元),,,,,,,,,,,15691,15444,18650,19631,
居民人均消费支出—城镇居民人均消费支出(元),,,,,,,,,,,27194,26667,32249,33342,
居民消费价格指数和商品零售价格指数—农村商品零售价格指数(上年=100),,,,,,,,,,,102.7,104.3,,,
居民消费价格指数和商品零售价格指数—农村居民消费价格指数(上年=100),,,,,,,,,,,101.1,102,100.6,100.1,
居民消费价格指数和商品零售价格指数—商品零售价格指数(上年=100),,,,,,,,,,,103.8,103.8,,,
居民消费价格指数和商品零售价格指数—城市商品零售价格指数(上年=100),,,,,,,,,,,104,103.8,,,
居民消费价格指数和商品零售价格指数—城市居民消费价格指数(上年=100),,,,,,,,,,,100.8,101.7,100.6,100.2,
居民消费价格指数和商品零售价格指数—居民消费价格指数(上年=100),,,,,,,,,,,100.9,101.8,100.6,100.2,
按经营单位所在地分货物进出口总额—经营单位所在地出口总额(千美元),,,,,,,,,,,7355505,9190000,11080000,11980000,
按经营单位所在地分货物进出口总额—经营单位所在地进出口总额(千美元),,,,,,,,,,,19050000,22530000,27840000,29170558,
按经营单位所在地分货物进出口总额—经营单位所在地进口总额(千美元),,,,,,,,,,,11692564,13330000,16750000,17190000,
按行业分国有经济能源工业固定资产投资—国有经济煤气生产和供应业固定资产投资(亿元),9.25,6.18,12.4,29.94,7.95,16.02,61.16,,,,,,,,
按行业分国有经济能源工业固定资产投资—国有经济煤炭采选业固定资产投资(亿元),210.74,205.51,257.35,308.43,138.99,79.25,124.66,,,,,,,,
按行业分国有经济能源工业固定资产投资—国有经济电力、蒸汽、热水生产和供应业固定资产投资(亿元),450,368.88,456.97,755.71,587,824.66,555,,,,,,,,
按行业分国有经济能源工业固定资产投资—国有经济石油加工及炼焦业固定资产投资(亿元),61.26,29.11,30.85,3.29,1.98,10.57,6.11,,,,,,,,
按行业分国有经济能源工业固定资产投资—国有经济石油和天然气开采业固定资产投资(亿元),92.55,38.78,129.01,126.54,30,51.48,48.7,,,,,,,,
按行业分国有经济能源工业固定资产投资—国有经济能源工业固定资产投资(亿元),824,648.46,886.58,1223.91,766,981.98,796,,,,,,,,
按行业分城镇单位就业人员—交通运输、仓储和邮政业城镇单位就业人员(万人),,,,,,,,,,,19.7,19.6,19.8,19.4,
按行业分城镇单位就业人员—住宿和餐饮业城镇单位就业人员(万人),,,,,,,,,,,2.4,2.2,2.7,2.7,
按行业分城镇单位就业人员—信息传输、软件和信息技术服务业城镇单位就业人员(万人),,,,,,,,,,,4.6,4.5,4.4,4.2,
按行业分城镇单位就业人员—公共管理、社会保障和社会组织城镇单位就业人员(万人),,,,,,,,,,,56.5,55.4,55.3,59.8,
按行业分城镇单位就业人员—农林牧渔业城镇单位就业人员(万人),,,,,,,,,,,7.6,7,4.4,5.1,
按行业分城镇单位就业人员—制造业城镇单位就业人员(万人),,,,,,,,,,,33.5,37.5,38.7,39.6,
按行业分城镇单位就业人员—卫生和社会工作城镇单位就业人员(万人),,,,,,,,,,,20.3,20.7,20.5,22.8,
按行业分城镇单位就业人员—城镇单位就业人员(万人),,,,,,,,,,,267.7,265.5,268.7,284.3,
按行业分城镇单位就业人员—居民服务、修理和其他服务业城镇单位就业人员(万人),,,,,,,,,,,0.6,0.6,0.5,0.6,
按行业分城镇单位就业人员—建筑业城镇单位就业人员(万人),,,,,,,,,,,9.1,8.3,7.1,7.5,
按行业分城镇单位就业人员—房地产业城镇单位就业人员(万人),,,,,,,,,,,5.3,5.4,6.8,7.3,
按行业分城镇单位就业人员—批发和零售业城镇单位就业人员(万人),,,,,,,,,,,7.9,7.9,8.3,8.6,
按行业分城镇单位就业人员—教育业城镇单位就业人员(万人),,,,,,,,,,,37,36.5,36.6,38.4,
按行业分城镇单位就业人员—文化、体育和娱乐业城镇单位就业人员(万人),,,,,,,,,,,3.1,2.9,3,3.7,
按行业分城镇单位就业人员—水利、环境和公共设施管理业城镇单位就业人员(万人),,,,,,,,,,,4.7,4.7,6.5,7.2,
按行业分城镇单位就业人员—电力、热力、燃气及水生产和供应业城镇单位就业人员(万人),,,,,,,,,,,15.6,14.3,14.1,15.2,
按行业分城镇单位就业人员—科学研究和技术服务业城镇单位就业人员(万人),,,,,,,,,,,5.9,5.6,5.6,6.4,
按行业分城镇单位就业人员—租赁和商务服务业城镇单位就业人员(万人),,,,,,,,,,,5.2,4.8,7.1,6.9,
按行业分城镇单位就业人员—采矿业城镇单位就业人员(万人),,,,,,,,,,,10.3,11,11.9,12.3,
按行业分城镇单位就业人员—金融业城镇单位就业人员(万人),,,,,,,,,,,18.2,16.4,15.4,16.6,
按行业分城镇单位就业人员工资总额—交通运输、仓储和邮政业城镇单位就业人员工资总额(亿元),,,,,,,,,,,204.48,216.06,228.47,238.2,
按行业分城镇单位就业人员工资总额—住宿和餐饮业城镇单位就业人员工资总额(亿元),,,,,,,,,,,11.92,11.2,13.63,16.1,
按行业分城镇单位就业人员工资总额—信息传输、计算机服务和软件业城镇单位就业人员工资总额(亿元),,,,,,,,,,,52.26,55.07,59.08,63.1,
按行业分城镇单位就业人员工资总额—公共管理和社会组织城镇单位就业人员工资总额(亿元),,,,,,,,,,,455.73,517.2,540.58,595.4,
按行业分城镇单位就业人员工资总额—农、林、牧、渔业城镇单位就业人员工资总额(亿元),,,,,,,,,,,54.77,54.95,36.34,44.2,
按行业分城镇单位就业人员工资总额—制造业城镇单位就业人员工资总额(亿元),,,,,,,,,,,299.89,383.79,431.69,455.9,
按行业分城镇单位就业人员工资总额—卫生、社会保障和社会福利业城镇单位就业人员工资总额(亿元),,,,,,,,,,,182.8,207.84,224.6,259.9,
按行业分城镇单位就业人员工资总额—城镇单位就业人员工资总额(亿元),,,,,,,,,,,2427.45,2700.17,2932.75,3232.9,
按行业分城镇单位就业人员工资总额—居民服务和其他服务业城镇单位就业人员工资总额(亿元),,,,,,,,,,,3.44,3.23,2.71,3.4,
按行业分城镇单位就业人员工资总额—建筑业城镇单位就业人员工资总额(亿元),,,,,,,,,,,62.68,63.67,62.54,66.5,
按行业分城镇单位就业人员工资总额—房地产业城镇单位就业人员工资总额(亿元),,,,,,,,,,,31.96,32.24,38.42,41.6,
按行业分城镇单位就业人员工资总额—批发和零售业城镇单位就业人员工资总额(亿元),,,,,,,,,,,63.44,69.07,79.51,88.1,
按行业分城镇单位就业人员工资总额—教育城镇单位就业人员工资总额(亿元),,,,,,,,,,,337.51,386.13,400.92,439.6,
按行业分城镇单位就业人员工资总额—文化、体育和娱乐业城镇单位就业人员工资总额(亿元),,,,,,,,,,,26.21,28.74,29.03,37.2,
按行业分城镇单位就业人员工资总额—水利、环境和公共设施管理业城镇单位就业人员工资总额(亿元),,,,,,,,,,,24.81,26.8,35.91,41.4,
按行业分城镇单位就业人员工资总额—电力、燃气及水的生产和供应业城镇单位就业人员工资总额(亿元),,,,,,,,,,,188.81,184.66,195.53,223.3,
按行业分城镇单位就业人员工资总额—科学研究、技术服务和地质勘查业城镇单位就业人员工资总额(亿元),,,,,,,,,,,53.93,58.06,63.35,75,
按行业分城镇单位就业人员工资总额—租赁和商务服务业城镇单位就业人员工资总额(亿元),,,,,,,,,,,36.55,34.95,53.91,57.4,
按行业分城镇单位就业人员工资总额—采矿业城镇单位就业人员工资总额(亿元),,,,,,,,,,,146.88,174.22,233.59,264.5,
按行业分城镇单位就业人员工资总额—金融业城镇单位就业人员工资总额(亿元),,,,,,,,,,,189.4,192.3,202.93,222,
漏斗效应数据—GDP总量(亿元),,,,,,18128,16096,17290,17212,17360,21584.8,23795.7,25020.5,26337,
漏斗效应数据—中央转移支付(亿元),,,,,,2400,2650,2800,2900,3050,2889.6,3063.3,3752.6,3766.1,
漏斗效应数据—人口(万人),,,,,,2520,2528,2534,2540,2405,2400,2401.2,2396,2392,
漏斗效应数据—人口自然增长率(‰),,,,,,2.45,1.62,1.17,0.88,-0.53,-1.35,-2.7,-3.3,-3.7,
漏斗效应数据—煤矿采掘工资增速趋势(%),,,,,,5.2,7.1,7.6,10.6,5.6,8,11.1,23.9,9.5,
漏斗效应数据—煤矿采掘工资天花板(万元),,,,,,9.8,10.5,11.3,12.5,13.2,14.26,15.84,19.63,21.5,
漏斗效应数据—财政自给率(%),,,,,,42.3,40.2,38.8,37.5,36.5,44.8,48,45.1,45.5,
漏斗效应数据—资源型产值占GDP比(%),,,,,,62,60,58,55,52,48,45,42,38,
漏斗效应数据—青年外流比例(%),,,,,,8.2,9.5,10.8,12.1,13.5,14.8,16.2,17.5,18.8,
漏斗效应数据—高新岗位工资(万元),,,,,,8.5,9.2,10.1,11.3,12.5,14,15.5,17,18.8,
漏斗效应数据—高新岗位工资增速(%),,,,,,8.5,8.2,9.8,11.9,10.6,12,10.7,9.7,10.6,
煤炭输送—北京输送量(万吨),,,,,,,,,,,2800,3100,3300,3600,
煤炭输送—南京输送量(万吨),,,,,,,,,,,1800,2100,2400,2600,
煤炭输送—天津输送量(万吨),,,,,,,,,,,2200,2500,2700,3000,
煤炭输送—太原输送量(万吨),,,,,,,,,,,1200,1400,1500,1600,
煤炭输送—济南输送量(万吨),,,,,,,,,,,2800,3100,3500,3800,
煤炭输送—石家庄输送量(万吨),,,,,,,,,,,3500,3800,4200,4500,
煤炭输送—青岛输送量(万吨),,,,,,,,,,,1500,1700,1900,2200,
绿电输送—上海输送量(亿千瓦时),,,,,,,,,,,120,155,200,255,
绿电输送—广州输送量(亿千瓦时),,,,,,,,,,,55,75,100,140,
绿电输送—成都输送量(亿千瓦时),,,,,,,,,,,40,58,78,110,
绿电输送—杭州输送量(亿千瓦时),,,,,,,,,,,85,110,148,195,
绿电输送—武汉输送量(亿千瓦时),,,,,,,,,,,35,50,70,100,
绿电输送—深圳输送量(亿千瓦时),,,,,,,,,,,48,68,92,130,
绿电输送—苏州输送量(亿千瓦时),,,,,,,,,,,95,128,168,218,
能源供应分行业投资—煤气生产和供应业投资(亿元),194.54,186.29,192.44,178.8,93.87,72.46,129.56,,,,,,,,
能源供应分行业投资—煤炭采选业投资(亿元),588.66,674.38,852.2,863.77,508.98,452.82,590.03,,,,,,,,
能源供应分行业投资—电力、蒸汽、热水生产和供应业投资(亿元),1059.07,972.65,1132.89,1635.65,1481.31,1578.37,1204.84,,,,,,,,
能源供应分行业投资—石油加工及炼焦业投资(亿元),158.87,126.1,204.59,228.29,99.76,84.89,104.26,,,,,,,,
能源供应分行业投资—石油和天然气开采业投资(亿元),96.48,53.64,141.31,159.06,42.55,115.61,111.5,,,,,,,,
能源供应分行业投资—能源工业投资(亿元),1903.08,1826.78,2330.99,2886.76,2132.6,2231.7,2010.63,,,,,,,,
进口商品结构—其他(亿元),,,,,,,,,,,818479,933100,1172500,1203300,
进口商品结构—其他占比(%),,,,,,,,,,,7,7,7,7,
进口商品结构—农畜产品(亿元),,,,,,,,,,,818479,933100,1172500,1203300,
进口商品结构—农畜产品占比(%),,,,,,,,,,,7,7,7,7,
进口商品结构—化工产品(亿元),,,,,,,,,,,1403108,1599600,2010000,2062800,
进口商品结构—化工产品占比(%),,,,,,,,,,,12,12,12,12,
进口商品结构—机电产品(亿元),,,,,,,,,,,2338513,2799300,3685000,3953700,
进口商品结构—机电产品占比(%),,,,,,,,,,,20,21,22,23,
进口商品结构—资源类(亿元),,,,,,,,,,,4560100,5065400,6197500,6188400,
进口商品结构—资源类占比(%),,,,,,,,,,,39,38,37,36,
进口商品结构—进口总额(亿元),,,,,,,,,,,11692564,13330000,16750000,17190000,
进口商品结构—高新制造(亿元),,,,,,,,,,,1753885,1999500,2512500,2578500,
进口商品结构—高新制造占比(%),,,,,,,,,,,15,15,15,15,
高新产业崛起数据—信息技术投资(亿元),,,,,,30.5,42,58.6,78.3,95.2,117.86,257.22,300.33,314.92,
高新产业崛起数据—储能工程师工资(万元),,,,,,9,9.8,10.8,12,13,14,15.5,17,18.8,
高新产业崛起数据—储能装机(万千瓦),,,,,,50,80,120,150,200,200,200,200,200,
高新产业崛起数据—光伏装机(万千瓦),,,,,,800,900,1000,1200,1500,1800,2300,3000,3700,
高新产业崛起数据—数据中心算力(P),,,,,,20,35,60,100,180,300,520,850,1400,
高新产业崛起数据—新能源岗位平均工资(万元),,,,,,8.5,9.2,10.1,11.3,12.5,13.2,14.1,15.3,16.5,
高新产业崛起数据—新能源装机(万千瓦),,,,,,2800,3200,3600,4200,5000,5700,6700,8600,10500,
高新产业崛起数据—科技财政支出(亿元),,,,,,15.2,18.5,22.3,27.8,30.5,35.28,42.99,74.97,86.27,
高新产业崛起数据—绿电输送(亿千瓦时),,,,,,150,180,230,310,380,478,644,856,1148,
高新产业崛起数据—风电装机(万千瓦),,,,,,1800,2100,2400,2800,3300,3700,4200,5400,6600,
高新产业崛起数据—高技术制造业增加值增速(%),,,,,,5.8,8.2,10.5,12.3,9.8,15.2,18.6,22.4,19.8,
高校毕业生留区就业—毕业生总人数(人),,,,,,,,,,,,,,161125,
高校毕业生留区就业—留区就业比例(%),,,,,,,,,,,,,,77.43,
高校毕业生留区就业—留区就业人数(人),,,,,,,,,,,,,,124726,
高校毕业生留区就业—专科生留区比例(%),,,,,,,,,,,,,,82.95,
高校毕业生留区就业—本科生留区比例(%),,,,,,,,,,,,,,73.94,
高校毕业生留区就业—研究生留区比例(%),,,,,,,,,,,,,,64.31,
高校毕业生留区就业—民营企业就业占比(%),,,,,,,,,,,,,,68.12,
高校毕业生留区就业—国有企业就业占比(%),,,,,,,,,,,,,,13.15,
高校毕业生留区就业—事业单位就业占比(%),,,,,,,,,,,,,,12.24,
高校毕业生留区就业—机关单位就业占比(%),,,,,,,,,,,,,,4.99,
高校毕业生留区就业—教育行业就业占比(%),,,,,,,,,,,,,,22.75,
高校毕业生留区就业—制造业就业占比(%),,,,,,,,,,,,,,15.36,
高校毕业生留区就业—公共管理就业占比(%),,,,,,,,,,,,,,13.01,
高校毕业生留区就业—信息技术就业占比(%),,,,,,,,,,,,,,8.50,
